Date,Open,High,Low,Close,Adj Close,Volume
2023-02-08,9.550000,9.690000,8.755000,8.780000,8.780000,1018300
2023-02-09,8.930000,9.200000,8.730000,8.790000,8.790000,1054400
2023-02-10,8.610000,9.015000,8.490000,8.820000,8.820000,1043800
2023-02-13,8.890000,8.900000,8.430000,8.690000,8.690000,733300
2023-02-14,8.730000,8.860000,8.430000,8.680000,8.680000,898900
2023-02-15,9.940000,10.230000,9.020000,10.030000,10.030000,4015400
2023-02-16,9.910000,10.380000,9.630000,9.630000,9.630000,1287800
2023-02-17,9.660000,9.660000,9.135000,9.500000,9.500000,910200
2023-02-21,9.270000,9.310000,8.630000,8.800000,8.800000,1396900
2023-02-22,8.860000,9.100000,8.590000,8.830000,8.830000,861800
2023-02-23,8.920000,8.980000,8.440000,8.640000,8.640000,774400
2023-02-24,8.370000,8.490000,8.180000,8.320000,8.320000,691000
2023-02-27,8.510000,8.570000,8.170000,8.430000,8.430000,488100
2023-02-28,8.410000,8.660000,8.370000,8.550000,8.550000,641900
2023-03-01,8.570000,8.570000,8.110000,8.130000,8.130000,662700
2023-03-02,8.000000,8.620000,7.863000,8.530000,8.530000,774500
2023-03-03,8.650000,9.170000,8.550000,9.080000,9.080000,657900
2023-03-06,8.590000,8.835000,8.180000,8.460000,8.460000,1246900
2023-03-07,8.450000,8.910000,8.240000,8.600000,8.600000,936200
2023-03-08,8.630000,9.070000,8.410000,8.890000,8.890000,732200
2023-03-09,8.820000,8.820000,8.210000,8.220000,8.220000,675900
2023-03-10,8.160000,8.168000,7.610000,8.000000,8.000000,1364600
2023-03-13,7.870000,8.570000,7.790000,8.300000,8.300000,841600
2023-03-14,8.630000,8.720000,8.050000,8.140000,8.140000,901800
2023-03-15,7.870000,8.240000,7.830000,8.220000,8.220000,687600
2023-03-16,8.170000,8.500000,7.980000,8.400000,8.400000,605000
2023-03-17,8.300000,8.466000,7.870000,8.010000,8.010000,1145200
2023-03-20,8.040000,8.210000,7.900000,8.030000,8.030000,544500
2023-03-21,8.140000,8.480000,7.920000,8.350000,8.350000,835400
2023-03-22,8.330000,8.330000,7.910000,7.930000,7.930000,774300
2023-03-23,8.030000,8.240000,7.790000,7.840000,7.840000,600000
2023-03-24,7.750000,8.440000,7.665000,8.430000,8.430000,1284800
